100411,4th Lord in 11th House,"4 th Lord in in 11 House, 4th Lord in of 4 in 11 House of Friendships in Vedic astrology"
100412,4th Lord in 12th House,"4 th Lord in in 12 House, 4th Lord in of 4 in 12 House of Subconscious in Vedic astrology"
100501,5th Lord in 1st House,"5 th Lord in in 1 House, 5th Lord in of 5 in 1 House of Individuality in Vedic astrology"
100502,5th Lord in 2nd House,"5 th Lord in in 2 House, 5th Lord in of 5 in 2 House of Wealth in Vedic astrology"
100503,5th Lord in 3rd House,"5 th Lord in in 3 House, 5th Lord in of 5 in 3 House of Siblings in Vedic astrology"
100504,5th Lord in 4th House,"5 th Lord in in 4 House, 5th Lord in of 5 in 4 House of Home in Vedic astrology"
100505,5th Lord in 5th House,"5 th Lord in in 5 House, 5th Lord in of 5 in 5 House of Creativity in Vedic astrology"
100506,5th Lord in 6th House,"5 th Lord in in 6 House, 5th Lord in of 5 in 6 House of Health in Vedic astrology"
100507,5th Lord in 7th House,"5 th Lord in in 7 House, 5th Lord in of 5 in 7 House of Partnership in Vedic astrology"
100508,5th Lord in 8th House,"5 th Lord in in 8 House, 5th Lord in of 5 in 8 House of Transformation in Vedic astrology"
100509,5th Lord in 9th House,"5 th Lord in in 9 House, 5th Lord in of 5 in 9 House of Philosophy in Vedic astrology"
100510,5th Lord in 10th House,"5 th Lord in in 10 House, 5th Lord in of 5 in 10 House of Career in Vedic astrology"
100511,5th Lord in 11th House,"5 th Lord in in 11 House, 5th Lord in of 5 in 11 House of Friendships in Vedic astrology"
100512,5th Lord in 12th House,"5 th Lord in in 12 House, 5th Lord in of 5 in 12 House of Subconscious in Vedic astrology"
100601,6th Lord in 1st House,"6 th Lord in in 1 House, 6th Lord in of 6 in 1 House of Individuality in Vedic astrology"
100602,6th Lord in 2th House,"6 th Lord in in 2 House, 6th Lord in of 6 in 2 House of Wealth in Vedic astrology"
100603,6th Lord in 3th House,"6 th Lord in in 3 House, 6th Lord in of 6 in 3 House of Siblings in Vedic astrology"
100604,6th Lord in 4th House,"6 th Lord in in 4 House, 6th Lord in of 6 in 4 House of Home in Vedic astrology"
100605,6th Lord in 5th House,"6 th Lord in in 5 House, 6th Lord in of 6 in 5 House of Creativity in Vedic astrology"
100606,6th Lord in 6th House,"6 th Lord in in 6 House, 6th Lord in of 6 in 6 House of Health in Vedic astrology"
100607,6th Lord in 7th House,"6 th Lord in in 7 House, 6th Lord in of 6 in 7 House of Partnership in Vedic astrology"
100608,6th Lord in 8th House,"6 th Lord in in 8 House, 6th Lord in of 6 in 8 House of Transformation in Vedic astrology"
100609,6th Lord in 9th House,"6 th Lord in in 9 House, 6th Lord in of 6 in 9 House of Philosophy in Vedic astrology"
100610,6th Lord in 10th House,"6 th Lord in in 10 House, 6th Lord in of 6 in 10 House of Career in Vedic astrology"
100611,6th Lord in 11th House,"6 th Lord in in 11 House, 6th Lord in of 6 in 11 House of Friendships in Vedic astrology"
100612,6th Lord in 12th House,"6 th Lord in in 12 House, 6th Lord in of 6 in 12 House of Subconscious in Vedic astrology"
100701,7th Lord in 1th House,"7 th Lord in in 1 House, 7th Lord in of 7 in 1 House of Individuality in Vedic astrology"
100702,7th Lord in 2th House,"7 th Lord in in 2 House, 7th Lord in of 7 in 2 House of Wealth in Vedic astrology"
100703,7th Lord in 3th House,"7 th Lord in in 3 House, 4th Lord in of 7 in 3 House of Siblings in Vedic astrology"
100704,7th Lord in 4th House,"7 th Lord in in 4 House, 4th Lord in of 7 in 4 House of Home in Vedic astrology"
100705,7th Lord in 5th House,"7 th Lord in in 5 House, 4th Lord in of 7 in 5 House of Creativity in Vedic astrology"
100706,7th Lord in 6th House,"7 th Lord in in 6 House, 4th Lord in of 7 in 6 House of Health in Vedic astrology"
100707,7th Lord in 7th House,"7 th Lord in in 7 House, 4th Lord in of 7 in 7 House of Partnership in Vedic astrology"
100708,7th Lord in 8th House,"7 th Lord in in 8 House, 4th Lord in of 7 in 8 House of Transformation in Vedic astrology"
100709,7th Lord in 9th House,"7 th Lord in in 9 House, 4th Lord in of 7 in 9 House of Philosophy in Vedic astrology"
100710,7th Lord in 10th House,"7 th Lord in in 10 House, 4th Lord in of 7 in 10 House of Career in Vedic astrology"
100711,7th Lord in 11th House,"7 th Lord in in 11 House, 4th Lord in of 7 in 11 House of Friendships in Vedic astrology"
100712,7th Lord in 12th House,"7 th Lord in in 12 House, 4th Lord in of 7 in 12 House of Subconscious in Vedic astrology"
100801,8th Lord in 1th House,"8 th Lord in in 1 House, 8th Lord in of 8 in 1 House of Individuality in Vedic astrology"
100802,8th Lord in 2th House,"8 th Lord in in 2 House, 8th Lord in of 8 in 2 House of Wealth in Vedic astrology"
100803,8th Lord in 3th House,"8 th Lord in in 3 House, 8th Lord in of 8 in 3 House of Siblings in Vedic astrology"
100804,8th Lord in 4th House,"8 th Lord in in 4 House, 8th Lord in of 8 in 4 House of Home in Vedic astrology"
100805,8th Lord in 5th House,"8 th Lord in in 5 House, 8th Lord in of 8 in 5 House of Creativity in Vedic astrology"
